2,-60,-60,-102, 60,-60,-102, 60, 60,-102,
2,-60,-60,-102,-60, 60,-102, 60, 60,-102,
2,-60,-60, 102, 60,-60, 102, 60, 60, 102,
2,-60,-60, 102,-60, 60, 102, 60, 60, 102,

2,-102,-60,-60,-102,-60, 60,-102, 60, 60,
2,-102,-60,-60,-102, 60,-60,-102, 60, 60,
2, 102,-60,-60, 102,-60, 60, 102, 60, 60,
2, 102,-60,-60, 102, 60,-60, 102, 60, 60,

2,-60,-102,-60, 60,-102,-60, 60,-102, 60,
2,-60,-102,-60,-60,-102, 60, 60,-102, 60,
2,-60, 102,-60, 60, 102,-60, 60, 102, 60,
2,-60, 102,-60,-60, 102, 60, 60, 102, 60,

2,-60, 60,-102,-102, 60,-60,-60, 102,-60,
2, 60, 60,-102, 102, 60,-60, 60, 102,-60,
2,-60, 60, 102,-102, 60, 60,-60, 102, 60,
2, 60, 60, 102, 102, 60, 60, 60, 102, 60,

2,-60,-60,-102,-102,-60,-60,-60,-102,-60,
2, 60,-60,-102, 102,-60,-60, 60,-102,-60,
2,-60,-60, 102,-102,-60, 60,-60,-102, 60,
2, 60,-60, 102, 102,-60, 60, 60,-102, 60,

